ticker,model,daily_sharpe,direction_acc,mean_pnl_bp
AMZN,ram_fingan_v2,-0.4456129311916217,0.4850948509485094,-1.90665193700422
APA,ram_fingan_v2,1.082834799966473,0.5284552845528455,11.56989108637882
BLK,naive_ram_lstm,0.0553677634485939,0.5058717253839206,0.257839016582187
CL,ram_fingan_v3,2.401111845796219,0.5501355013550135,6.470309035715733
DTE,baseline_lstm_xonly,1.3461839177069816,0.5401987353206865,5.790109278612226
ECL,ram_fingan_v1,1.3308152747203126,0.5275519421860885,3.743544871453977
EL,regime_factor_lstm,0.9400435309014756,0.5176151761517616,5.088076394621487
FDX,regime_factor_lstm,1.1030587848704094,0.4968383017163505,6.213174153194603
GD,ram_fingan_v1,1.5779671013150882,0.5266485998193315,2.541497230579284
GS,regime_econ_lstm_v4,1.462796910510217,0.5311653116531165,0.8099383707935444
HD,ram_fingan_v1,1.0313355072364483,0.4932249322493225,2.2391893417572404
HUM,regime_econ_lstm_v4,1.365297525133882,0.5230352303523035,1.5801736265439894
IBM,ram_fingan_v1,0.1309740537406587,0.5049683830171635,0.4656073621096352
IP,ram_fingan_v1,1.2917920662460587,0.5221318879855466,3.723522889043561
KO,regime_factor_lstm,2.505684760646628,0.5573622402890696,6.798273884104273
NKE,naive_ram_lstm,0.6030589830860096,0.5049683830171635,2.756016303380884
OXY,baseline_lstm_xonly,0.4688206906169733,0.5167118337850045,4.247915589295027
PEP,ram_fingan_v3,3.297790024911003,0.5582655826558266,6.888656238624435
PFE,regime_econ_lstm_v4,1.3580462359396208,0.4932249322493225,1.9960060539620983
TER,regime_factor_lstm,0.0424356068479828,0.5275519421860885,0.2714190522288232
WEC,baseline_lstm_xonly,1.996985626775712,0.5383920505871725,6.780448508373215
WFC,regime_factor_lstm,0.5918839551816407,0.5194218608852755,2.693267080820483
